Id,SalePrice
1461,120727.4463026407
1462,177855.6824052853
1463,195244.6512567975
1464,207012.45178005987
1465,182257.73527916503
1466,178446.08896140306
1467,173515.66991854407
1468,176925.00517120847
1469,189739.90219798658
1470,116213.12570059144
1471,210849.21127616323
1472,92581.67320132337
1473,94715.31088040363
1474,150152.93068163557
1475,113115.25589741416
1476,368437.5848058593
1477,270271.3221919516
1478,288417.58344223344
1479,261750.890869233
1480,512597.0820559748
1481,343339.0506731834
1482,208101.8612693493
1483,177833.73530552135
1484,162401.65249460778
1485,167709.29285120306
1486,185659.9658797405
1487,330681.5429693246
1488,227074.76447347135
1489,199097.4950841085
1490,228362.88029625235
1491,189718.97605487215
1492,79008.26959003617
1493,198105.86773054663
1494,251446.51880334428
1495,282491.2689339856
1496,239111.06147004
1497,174270.72303376603
1498,157974.2874975769
1499,155624.91371477128
1500,154255.04954222945
1501,174666.80568103434
1502,139136.25567917185
1503,280186.7207214321
1504,234437.3785454334
1505,221738.40466323507
1506,184455.13075289727
1507,272444.11799501954
1508,205589.32751546957
1509,159550.64418757524
1510,151847.7575637477
1511,142381.54757303404
1512,158002.51114806693
1513,136820.3151102944
1514,178052.3235745845
1515,207408.92478159003
1516,141223.6309994858
1517,161263.6902147055
1518,121125.25872383516
1519,229593.78632427973
1520,135424.28245957877
1521,132999.7008098292
1522,167803.00706234763
1523,115007.75093278244
1524,124982.98164560524
1525,122883.33372865514
1526,122071.97552820112
1527,103501.92048430741
1528,139393.36597455599
1529,145328.11063689704
1530,167656.22124485188
1531,108596.51243861973
1532,106632.10454183207
1533,132749.948875443
1534,120366.1493275169
1535,153052.54401050028
1536,116435.70172728466
1537,73633.68411861896
1538,128988.78199272921
1539,170095.00518391424
1540,94443.8536192089
1541,154913.58594580062
1542,137931.85677707547
1543,190304.44638556175
1544,80880.95029682851
1545,122391.57137680483
1546,120795.77819190407
1547,141580.93313916257
1548,148816.15523202132
1549,127211.22687090238
1550,131645.10754671475
1551,122524.77064710794
1552,122275.90827573733
1553,154977.99773785452
1554,102675.0630606747
1555,188914.87696439264
1556,84181.85710823465
1557,117679.0353871345
1558,87177.40132430368
1559,130553.74109902892
1560,129656.87402396313
1561,157270.54909508317
1562,130310.9454894996
1563,115766.92230720058
1564,159783.0934124068
1565,150927.78697474196
1566,213532.24269715577
1567,81561.110257824
1568,217484.0111367902
1569,157118.29870249145
1570,134058.0684455291
1571,112830.25870518394
1572,141352.1728398732
1573,261074.44181884525
1574,110655.75305492825
1575,224220.08666581262
1576,230367.3234560091
1577,191030.1210293246
1578,138886.9175122241
1579,149087.25838047054
1580,187978.6869563127
1581,144058.03261296666
1582,130607.73498674766
1583,322968.887382223
1584,229356.93388314277
1585,139899.71752976588
1586,68697.01413219675
1587,106372.1653772313
1588,144162.12077085525
1589,103874.77991283181
1590,133644.55863343508
1591,97345.07391472167
1592,130952.09142464706
1593,115359.03057360621
1594,144895.2166203104
1595,128222.38537247802
1596,247608.5968405763
1597,201603.34129737967
1598,186530.20123355623
1599,132496.33566309785
1600,149851.94507345164
1601,71954.71748412971
1602,109519.10224025199
1603,83517.09744260335
1604,273497.20966369857
1605,246954.089459362
1606,175249.46921095086
1607,179432.8458556196
1608,218085.86741542892
